{'--help': False,
 '--keys': '1024',
 '--linear': None,
 '--retrieveonly': True,
 '--size': '16',
 '--storeonly': False,
 '--times': '61440',
 '--uniform': False,
 '--version': False,
 '--zipf': '1.125',
 '<addr>': None,
 '<key>': None,
 '<nodes>': ['172.16.133.246:8001', '172.16.132.100:8001', '172.16.132.101:8001', '172.16.132.102:8001', '172.16.132.103:8001', '172.16.132.104:8001', '172.16.132.105:8001', '172.16.132.106:8001', '172.16.132.107:8001', '172.16.132.108:8001', '172.16.132.109:8001', '172.16.132.110:8001', '172.16.132.111:8001', '172.16.132.112:8001', '172.16.132.113:8001', '172.16.132.114:8001', '172.16.132.115:8001', '172.16.132.116:8001', '172.16.132.117:8001', '172.16.132.118:8001', '172.16.132.119:8001', '172.16.132.120:8001', '172.16.132.41:8001', '172.16.132.42:8001', '172.16.132.43:8001', '172.16.132.44:8001', '172.16.132.46:8001', '172.16.132.47:8001', '172.16.132.48:8001', '172.16.132.49:8001', '172.16.132.50:8001', '172.16.132.51:8001', '172.16.132.52:8001', '172.16.132.53:8001', '172.16.132.54:8001', '172.16.132.55:8001', '172.16.132.56:8001', '172.16.132.57:8001', '172.16.132.58:8001', '172.16.132.59:8001', '172.16.132.60:8001', '172.16.132.61:8001', '172.16.132.62:8001', '172.16.132.63:8001', '172.16.132.64:8001', '172.16.132.66:8001', '172.16.132.67:8001', '172.16.132.68:8001', '172.16.132.69:8001', '172.16.132.70:8001', '172.16.132.72:8001', '172.16.132.73:8001', '172.16.132.74:8001', '172.16.132.76:8001', '172.16.132.77:8001', '172.16.132.78:8001', '172.16.132.79:8001', '172.16.132.80:8001', '172.16.132.82:8001', '172.16.132.83:8001', '172.16.132.84:8001', '172.16.132.85:8001', '172.16.132.86:8001', '172.16.132.87:8001', '172.16.132.88:8001', '172.16.132.89:8001', '172.16.132.90:8001', '172.16.132.91:8001', '172.16.132.92:8001', '172.16.132.93:8001', '172.16.132.94:8001', '172.16.132.95:8001', '172.16.132.96:8001', '172.16.132.97:8001', '172.16.132.98:8001', '172.16.132.99:8001'],
 '<target>': None,
 'findnode': False,
 'findvalue': False,
 'id': False,
 'ip': False,
 'iterative': False,
 'oneshot': False,
 'ping': False,
 'shutdown': False,
 'store': False,
 'table': False,
 'test': True}
('Using alpha', 1.125)
Using 172.16.133.246:8001 as the main node for storage setup
timespan 972a67c48192728a34979d9a35164c1295401b71 0.00811696052551
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.00568413734436
timespan fe2ef495a1152561572949784c16bf23abb28057 0.0115561485291
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.0111479759216
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.0186541080475
timespan 1b6453892473a467d07372d45eb05abc2031647a 0.00806903839111
timespan 77de68daecd823babbb58edb1c8e14d7106e83bb 0.00496387481689
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.0168228149414
timespan 1b6453892473a467d07372d45eb05abc2031647a 0.013482093811
timespan 5f1cd7c3fb68ae7c679f8c33966610670d32ff1e 0.00833582878113
timespan 842066fdfe3fe1ad160fe790e41af09901100f39 0.0194489955902
timespan 06349be70bd2d5dd98d36b9b8dba0a057500fdac 0.00857210159302
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00558304786682
timespan 3cc5149977a9d4beaf5387b67b4d30c41fdf32e0 0.00623202323914
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00532102584839
timespan 902ba3cda1883801594b6e1b452790cc53948fda 0.00804781913757
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.0054349899292
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00854587554932
timespan 9e6a55b6b4563e652a23be9d623ca5055c356940 0.00856018066406
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.0161421298981
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00500416755676
timespan 4260e7eabc193825e5a09c31c41d9c739703be50 0.00883603096008
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00867295265198
timespan 0ade7c2cf97f75d009975f4d720d1fa6c19f4897 0.00504612922668
timespan 7320828c9153b2a9848d6bc45d3544236b22fc48 0.0112209320068
timespan 356a192b7913b04c54574d18c28d46e6395428ab 0.00547480583191
timespan b6589fc6ab0dc82cf12099d1c2d40ab994e8410c 0.00479006767273
timespan da4b9237bacccdf19c0760cab7aec4a8359010b0 0.00795698165894
